ID,category,loc_lat,loc_lon,St_id,St_name,outcome
69901813,anti-social-behaviour,51.519920,-0.056696,961765,On or near Cambridge Heath Road,None
69901817,anti-social-behaviour,51.519920,-0.056696,961765,On or near Cambridge Heath Road,None
69901821,anti-social-behaviour,51.516998,-0.057239,955805,On or near Cavell Street,None
69901826,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69897870,anti-social-behaviour,51.522058,-0.020539,961840,On or near Chiltern Road,None
69901829,anti-social-behaviour,51.532467,-0.056825,964193,On or near Nightclub,None
69901831,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901833,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901659,anti-social-behaviour,51.518729,-0.054297,961761,On or near Lindley Street,None
69901661,anti-social-behaviour,51.518729,-0.054297,961761,On or near Lindley Street,None
69901663,anti-social-behaviour,51.526294,-0.052807,961652,On or near Cornwall Avenue,None
69901665,anti-social-behaviour,51.526294,-0.052807,961652,On or near Cornwall Avenue,None
69901667,anti-social-behaviour,51.530453,-0.054143,961710,On or near Peel Grove,None
69901669,anti-social-behaviour,51.526294,-0.052807,961652,On or near Cornwall Avenue,None
69901671,anti-social-behaviour,51.526294,-0.052807,961652,On or near Cornwall Avenue,None
69901673,anti-social-behaviour,51.521517,-0.053731,961699,On or near Vawdrey Close,None
69901675,anti-social-behaviour,51.519469,-0.054438,961766,On or near Adelina Grove,None
69901677,anti-social-behaviour,51.517229,-0.054937,955800,On or near Miranda Close,None
69899368,anti-social-behaviour,51.533134,-0.029445,963903,On or near Roman Road,None
69901686,anti-social-behaviour,51.531853,-0.053391,964177,On or near Russia Lane,None
69901688,anti-social-behaviour,51.531853,-0.053391,964177,On or near Russia Lane,None
69901690,anti-social-behaviour,51.528117,-0.053709,961747,On or near Police Station,None
69901692,anti-social-behaviour,51.523809,-0.053158,961621,On or near Malcolm Road,None
69901695,anti-social-behaviour,51.523809,-0.053158,961621,On or near Malcolm Road,None
69901697,anti-social-behaviour,51.514715,-0.054064,955737,On or near Parking Area,None
69901701,anti-social-behaviour,51.518729,-0.054297,961761,On or near Lindley Street,None
69901703,anti-social-behaviour,51.518729,-0.054297,961761,On or near Lindley Street,None
69901707,anti-social-behaviour,51.517229,-0.054937,955800,On or near Miranda Close,None
69901758,anti-social-behaviour,51.532272,-0.055363,964190,On or near Parmiter Street,None
69901760,anti-social-behaviour,51.517278,-0.056232,955799,On or near Newark Street,None
69901762,anti-social-behaviour,51.517278,-0.056232,955799,On or near Newark Street,None
69901764,anti-social-behaviour,51.517278,-0.056232,955799,On or near Newark Street,None
69901766,anti-social-behaviour,51.525429,-0.055929,961691,On or near Witan Street,None
69901767,anti-social-behaviour,51.525429,-0.055929,961691,On or near Witan Street,None
69901770,anti-social-behaviour,51.525429,-0.055929,961691,On or near Witan Street,None
69901772,anti-social-behaviour,51.525429,-0.055929,961691,On or near Witan Street,None
69901774,anti-social-behaviour,51.529238,-0.056228,961744,On or near Petrol Station,None
69901776,anti-social-behaviour,51.529238,-0.056228,961744,On or near Petrol Station,None
69901778,anti-social-behaviour,51.514128,-0.056626,955788,On or near Supermarket,None
69901780,anti-social-behaviour,51.524036,-0.056521,961730,On or near Coventry Road,None
69901782,anti-social-behaviour,51.528436,-0.055570,961736,On or near Cambridge Heath Road,None
69901784,anti-social-behaviour,51.534121,-0.055702,964017,On or near Wadeson Street,None
69901788,anti-social-behaviour,51.516627,-0.056548,955802,On or near Ford Square,None
69899370,anti-social-behaviour,51.533134,-0.029445,963903,On or near Roman Road,None
69897868,anti-social-behaviour,51.522058,-0.020539,961840,On or near Chiltern Road,None
69901790,anti-social-behaviour,51.529238,-0.056228,961744,On or near Petrol Station,None
69901792,anti-social-behaviour,51.526876,-0.057496,961709,On or near Pott Street,None
69901794,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901796,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901798,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901801,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901803,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901805,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901807,anti-social-behaviour,51.522037,-0.056880,961723,On or near Headlam Street,None
69901809,anti-social-behaviour,51.514128,-0.056626,955788,On or near Supermarket,None
69901811,anti-social-behaviour,51.519920,-0.056696,961765,On or near Cambridge Heath Road,None
69901819,anti-social-behaviour,51.516998,-0.057239,955805,On or near Cavell Street,None
69901815,anti-social-behaviour,51.519920,-0.056696,961765,On or near Cambridge Heath Road,None
69901836,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901837,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901839,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901841,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901843,anti-social-behaviour,51.526876,-0.057496,961709,On or near Pott Street,None
69901845,anti-social-behaviour,51.526876,-0.057496,961709,On or near Pott Street,None
69901847,anti-social-behaviour,51.526876,-0.057496,961709,On or near Pott Street,None
69901851,anti-social-behaviour,51.526876,-0.057496,961709,On or near Pott Street,None
69901849,anti-social-behaviour,51.526876,-0.057496,961709,On or near Pott Street,None
69901860,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901862,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901864,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901866,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901868,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901870,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901872,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901874,anti-social-behaviour,51.519231,-0.057418,961760,On or near Maples Place,None
69901876,anti-social-behaviour,51.523323,-0.057431,961742,On or near Barnsley Street,None
69901878,anti-social-behaviour,51.528321,-0.057910,961707,On or near Punderson's Gardens,None
69901880,anti-social-behaviour,51.529962,-0.057610,961703,On or near St Jude's Road,None
69901882,anti-social-behaviour,51.532467,-0.056825,964193,On or near Nightclub,None
69901884,anti-social-behaviour,51.531579,-0.057526,964184,On or near Clare Street,None
69901886,anti-social-behaviour,51.522616,-0.058211,961732,On or near Collingwood Street,None
69901890,anti-social-behaviour,51.531625,-0.058116,964182,On or near Felix Street,None
69901892,anti-social-behaviour,51.529962,-0.057610,961703,On or near St Jude's Road,None
69901894,anti-social-behaviour,51.516613,-0.059014,955807,On or near Further/higher Educational Building,None
69901896,anti-social-behaviour,51.522616,-0.058211,961732,On or near Collingwood Street,None
69901898,anti-social-behaviour,51.531446,-0.058729,964185,On or near Centre Street,None
69901916,anti-social-behaviour,51.519070,-0.059111,961763,On or near East Mount Street,None
69901918,anti-social-behaviour,51.527799,-0.058423,961726,On or near Ellsworth Street,None
69901920,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901929,anti-social-behaviour,51.531446,-0.058729,964185,On or near Centre Street,None
69897872,anti-social-behaviour,51.518975,-0.019534,962012,On or near Copton Close,None
69897885,anti-social-behaviour,51.519820,-0.021660,961811,On or near Tidey Street,None
69901931,anti-social-behaviour,51.531446,-0.058729,964185,On or near Centre Street,None
69901937,anti-social-behaviour,51.527019,-0.059609,961741,On or near Bethnal Green Road,None
69901939,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901941,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69897887,anti-social-behaviour,51.519820,-0.021660,961811,On or near Tidey Street,None
69901943,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901949,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901951,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901953,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901955,anti-social-behaviour,51.521669,-0.059635,961739,On or near Brady Street,None
69901962,anti-social-behaviour,51.527249,-0.059960,961690,On or near Wolverley Street,None
69901964,anti-social-behaviour,51.527249,-0.059960,961690,On or near Wolverley Street,None
69901978,anti-social-behaviour,51.517765,-0.060694,961768,On or near Further/higher Educational Building,None
69901980,anti-social-behaviour,51.517765,-0.060694,961768,On or near Further/higher Educational Building,None
69901992,anti-social-behaviour,51.522924,-0.060518,961706,On or near Scott Street,None
69902655,anti-social-behaviour,51.519778,-0.060623,961755,On or near Winthrop Street,None
69902657,anti-social-behaviour,51.519778,-0.060623,961755,On or near Winthrop Street,None
69902661,anti-social-behaviour,51.519043,-0.061274,961764,On or near Court Street,None
69902672,anti-social-behaviour,51.522146,-0.061892,961368,On or near Granary Road,None
69902732,anti-social-behaviour,51.522304,-0.062736,961318,On or near Surma Close,None
69906029,anti-social-behaviour,51.536378,-0.046479,964110,On or near Morpeth Grove,None
69906034,anti-social-behaviour,51.537424,-0.046650,964138,On or near Derby Road,None
69897968,anti-social-behaviour,51.516039,-0.022472,955702,On or near Cotall Street,None
69897889,anti-social-behaviour,51.519820,-0.021660,961811,On or near Tidey Street,None
69897893,anti-social-behaviour,51.517770,-0.020610,961929,On or near Hawgood Street,None
69897905,anti-social-behaviour,51.523261,-0.019881,961814,On or near Rounton Road,None
69897909,anti-social-behaviour,51.525178,-0.020995,961836,On or near Eagling Close,None
69897915,anti-social-behaviour,51.528072,-0.021979,961859,On or near Petrol Station,None
69897917,anti-social-behaviour,51.528072,-0.021979,961859,On or near Petrol Station,None
69897919,anti-social-behaviour,51.528072,-0.021979,961859,On or near Petrol Station,None
69897921,anti-social-behaviour,51.528072,-0.021979,961859,On or near Petrol Station,None
69897923,anti-social-behaviour,51.528072,-0.021979,961859,On or near Petrol Station,None
69899376,anti-social-behaviour,51.531006,-0.030157,963954,On or near Stafford Road,None
69897925,anti-social-behaviour,51.528072,-0.021979,961859,On or near Petrol Station,None
69897926,anti-social-behaviour,51.518732,-0.020568,961930,On or near Gale Street,None
69897944,anti-social-behaviour,51.519820,-0.021660,961811,On or near Tidey Street,None
69897945,anti-social-behaviour,51.519820,-0.021660,961811,On or near Tidey Street,None
69897947,anti-social-behaviour,51.518149,-0.021775,961931,On or near Furze Street,None
69897950,anti-social-behaviour,51.518149,-0.021775,961931,On or near Furze Street,None
69897951,anti-social-behaviour,51.518149,-0.021775,961931,On or near Furze Street,None
69897963,anti-social-behaviour,51.516867,-0.022004,961921,On or near Upper North Street,None
69897967,anti-social-behaviour,51.529665,-0.021550,961831,On or near Hartfield Terrace,None
69897971,anti-social-behaviour,51.516039,-0.022472,955702,On or near Cotall Street,None
69897973,anti-social-behaviour,51.516867,-0.022004,961921,On or near Upper North Street,None
69899374,anti-social-behaviour,51.533134,-0.029445,963903,On or near Roman Road,None
69897974,anti-social-behaviour,51.525640,-0.022287,961941,On or near Eleanor Street,None
69897986,anti-social-behaviour,51.527645,-0.022776,961847,On or near Bow Road,None
69899277,anti-social-behaviour,51.533072,-0.026795,963893,On or near Usher Road,None
69899378,anti-social-behaviour,51.525024,-0.030012,961845,On or near Brokesley Street,None
69899199,anti-social-behaviour,51.534032,-0.024518,963896,On or near Tiber Close,None
69899381,anti-social-behaviour,51.513442,-0.031650,955675,On or near Copenhagen Place,None
69899407,anti-social-behaviour,51.525568,-0.032468,961821,On or near Mile End Road,None
69899408,anti-social-behaviour,51.525568,-0.032468,961821,On or near Mile End Road,None
69899411,anti-social-behaviour,51.524978,-0.032680,961900,On or near Maplin Street,None
69899413,anti-social-behaviour,51.524978,-0.032680,961900,On or near Maplin Street,None
69899415,anti-social-behaviour,51.525060,-0.032720,961894,On or near Wentworth Mews,None
69899417,anti-social-behaviour,51.525626,-0.032667,961898,On or near Mile End Road,None
69899419,anti-social-behaviour,51.525626,-0.032667,961898,On or near Mile End Road,None
69899421,anti-social-behaviour,51.515160,-0.033291,955625,On or near Rhodeswell Road,None
69899423,anti-social-behaviour,51.515160,-0.033291,955625,On or near Rhodeswell Road,None
69899425,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899432,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899434,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899442,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899427,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899429,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899431,anti-social-behaviour,51.512100,-0.033668,955574,On or near Norway Place,None
69899444,anti-social-behaviour,51.510130,-0.035237,955592,On or near Northey Street,None
69899445,anti-social-behaviour,51.513126,-0.033206,955568,On or near Wilson's Place,None
